PF00001	CL0192
PF00002	CL0192
PF00003	CL0192
PF00004	CL0023
PF00005	CL0023
PF00006	CL0023
PF00007	CL0079
PF00008	CL0001
PF00009	CL0023
PF00010	
PF00011	CL0190
PF00012	CL0108
PF00013	CL0007
PF00014	
PF00015	
PF00016	
PF00017	CL0541
PF00018	CL0010
PF00019	CL0079
PF00020	CL0607
PF00021	CL0117
PF00022	CL0108
PF00023	CL0465
PF00024	CL0168
PF00025	CL0023
PF00026	CL0129
PF00027	CL0029
PF00028	CL0159
PF00029	CL0375
PF00030	CL0333
PF00031	CL0121
PF00032	
PF00033	CL0328
PF00034	CL0318
PF00035	CL0196
PF00036	CL0220
PF00037	CL0344
PF00038	
PF00039	CL0451
PF00040	CL0602
PF00041	CL0159
PF00042	CL0090
PF00043	CL0497
PF00044	CL0063
PF00045	
PF00046	CL0123
PF00047	CL0011
PF00048	
PF00049	CL0239
PF00050	CL0005
PF00051	CL0602
PF00052	CL0202
PF00053	CL0001
PF00054	CL0004
PF00055	CL0202
PF00056	CL0063
PF00057	
PF00058	CL0186
PF00059	CL0056
PF00060	CL0030
PF00061	CL0116
PF00062	CL0037
PF00063	CL0023
PF00064	CL0434
PF00066	
PF00067	
PF00068	CL0629
PF00069	CL0016
PF00070	CL0063
PF00071	CL0023
PF00072	CL0304
PF00073	CL0055
PF00074	
PF00075	CL0219
PF00076	CL0221
PF00077	CL0129
PF00078	CL0027
PF00079	
PF00080	
PF00081	
PF00082	
PF00083	CL0015
PF00084	CL0001
PF00085	CL0172
PF00086	
PF00087	CL0117
PF00088	CL0630
PF00089	CL0124
PF00090	CL0692
PF00091	CL0566
PF00092	CL0128
PF00093	CL0451
PF00094	
PF00095	
PF00096	CL0361
PF00097	CL0229
PF00098	CL0511
PF00100	CL0159
PF00101	
PF00102	CL0031
PF00103	CL0053
PF00104	
PF00105	CL0167
PF00106	CL0063
PF00107	CL0063
PF00108	CL0046
PF00109	CL0046
PF00110	
PF00111	CL0486
PF00112	CL0125
PF00113	CL0256
PF00114	CL0327
PF00115	CL0714
PF00116	CL0026
PF00117	CL0014
PF00118	
PF00119	
PF00120	CL0286
PF00121	CL0036
PF00122	
PF00123	
PF00124	
PF00125	CL0012
PF00126	CL0123
PF00127	CL0026
PF00128	CL0058
PF00129	CL0343
PF00130	CL0006
PF00131	CL0461
PF00132	CL0536
PF00133	CL0039
PF00134	CL0065
PF00135	CL0028
PF00136	CL0194
PF00137	
PF00139	CL0004
PF00140	
PF00141	CL0617
PF00142	CL0023
PF00143	CL0053
PF00144	CL0013
PF00145	CL0063
PF00146	CL0425
PF00147	CL0422
PF00148	CL0043
PF00149	CL0163
PF00150	CL0058
PF00151	CL0028
PF00152	CL0040
PF00153	
PF00154	CL0023
PF00155	CL0061
PF00156	CL0533
PF00157	CL0123
PF00158	CL0023
PF00159	
PF00160	CL0475
PF00161	
PF00162	
PF00163	CL0492
PF00164	CL0021
PF00165	CL0123
PF00166	CL0296
PF00167	CL0066
PF00168	CL0154
PF00169	CL0266
PF00170	CL0018
PF00171	CL0099
PF00172	
PF00173	
PF00174	CL0072
PF00175	CL0091
PF00176	CL0023
PF00177	
PF00178	CL0123
PF00179	CL0208
PF00180	CL0270
PF00181	CL0021
PF00182	CL0037
PF00183	
PF00184	
PF00185	CL0399
PF00186	CL0387
PF00187	
PF00188	CL0659
PF00189	
PF00190	CL0029
PF00191	
PF00193	CL0056
PF00194	
PF00195	CL0046
PF00196	CL0123
PF00197	CL0066
PF00198	CL0149
PF00199	
PF00200	
PF00201	CL0113
PF00202	CL0061
PF00203	
PF00204	CL0329
PF00205	CL0085
PF00206	
PF00207	CL0159
PF00208	CL0063
PF00209	CL0062
PF00210	CL0044
PF00211	CL0276
PF00212	
PF00213	CL0255
PF00214	
PF00215	CL0036
PF00216	CL0548
PF00217	CL0286
PF00218	CL0036
PF00219	CL0547
PF00220	
PF00221	
PF00223	
PF00224	CL0151
PF00225	CL0023
PF00226	CL0392
PF00227	CL0052
PF00228	
PF00229	CL0100
PF00230	CL0716
PF00231	
PF00232	CL0058
PF00233	CL0237
PF00234	CL0482
PF00235	CL0431
PF00236	CL0079
PF00237	
PF00238	
PF00239	
PF00240	CL0072
PF00241	CL0092
PF00242	
PF00243	CL0079
PF00244	CL0020
PF00245	CL0088
PF00246	CL0035
PF00248	
PF00249	CL0123
PF00250	CL0123
PF00251	CL0143
PF00252	
PF00253	
PF00254	CL0487
PF00255	CL0172
PF00257	
PF00258	CL0042
PF00260	
PF00261	CL0452
PF00262	CL0004
PF00263	
PF00264	CL0205
PF00265	CL0023
PF00266	CL0061
PF00267	CL0193
PF00268	CL0044
PF00269	
PF00270	CL0023
PF00271	CL0023
PF00272	
PF00273	CL0282
PF00274	CL0035
PF00275	CL0290
PF00276	
PF00277	
PF00278	
PF00280	CL0367
PF00281	CL0652
PF00282	CL0061
PF00283	
PF00284	
PF00285	
PF00286	
PF00287	CL0159
PF00288	CL0329
PF00289	CL0483
PF00290	CL0036
PF00291	CL0063
PF00292	CL0123
PF00293	CL0261
PF00294	CL0118
PF00295	CL0268
PF00296	
PF00297	CL0575
PF00298	
PF00299	CL0096
PF00300	CL0071
PF00301	CL0045
PF00302	CL0149
PF00303	
PF00304	CL0054
PF00305	
PF00306	
PF00307	CL0188
PF00308	CL0023
PF00309	
PF00310	CL0052
PF00311	CL0151
PF00312	CL0600
PF00313	CL0021
PF00314	CL0293
PF00316	CL0171
PF00317	
PF00318	CL0067
PF00319	
PF00320	CL0167
PF00321	
PF00322	
PF00323	CL0075
PF00324	CL0062
PF00325	CL0123
PF00326	CL0028
PF00327	
PF00328	CL0071
PF00329	
PF00330	
PF00331	CL0058
PF00332	CL0058
PF00333	CL0196
PF00334	
PF00335	CL0347
PF00336	
PF00337	CL0004
PF00338	
PF00339	CL0135
PF00340	CL0066
PF00341	CL0079
PF00342	CL0067
PF00343	CL0113
PF00344	CL0376
PF00345	CL0556
PF00346	
PF00347	
PF00348	CL0613
PF00349	CL0108
PF00350	CL0023
PF00351	
PF00352	CL0407
PF00353	CL0592
PF00354	CL0004
PF00355	CL0516
PF00356	CL0123
PF00357	
PF00358	CL0105
PF00359	CL0340
PF00360	CL0161
PF00361	CL0425
PF00362	CL0128
PF00363	
PF00364	CL0105
PF00365	CL0240
PF00366	CL0021
PF00367	
PF00368	
PF00370	CL0108
PF00372	CL0205
PF00373	CL0632
PF00374	
PF00375	
PF00376	CL0123
PF00377	
PF00378	CL0127
PF00379	
PF00380	CL0329
PF00381	
PF00382	CL0065
PF00383	CL0109
PF00384	
PF00385	CL0049
PF00386	CL0100
PF00387	CL0384
PF00388	CL0384
PF00389	CL0325
PF00390	CL0603
PF00391	CL0364
PF00392	CL0123
PF00393	CL0106
PF00394	CL0026
PF00395	
PF00396	
PF00397	CL0680
PF00398	CL0063
PF00399	
PF00400	CL0186
PF00401	
PF00402	
PF00403	CL0704
PF00404	CL0220
PF00405	CL0177
PF00406	CL0023
PF00407	CL0209
PF00408	
PF00410	
PF00411	CL0267
PF00412	CL0167
PF00413	CL0126
PF00414	
PF00415	CL0186
PF00416	CL0303
PF00418	
PF00419	CL0204
PF00420	
PF00421	
PF00423	CL0434
PF00424	
PF00425	
PF00426	CL0004
PF00427	
PF00428	
PF00429	
PF00430	CL0255
PF00431	CL0164
PF00432	CL0059
PF00433	
PF00434	CL0217
PF00435	
PF00436	CL0021
PF00437	CL0023
PF00438	
PF00439	
PF00440	CL0123
PF00441	CL0087
PF00443	CL0125
PF00444	
PF00445	
PF00446	
PF00447	CL0123
PF00448	CL0023
PF00449	CL0034
PF00450	CL0028
PF00451	CL0054
PF00452	CL0551
PF00453	
PF00454	CL0016
PF00455	CL0246
PF00456	CL0254
PF00457	CL0004
PF00458	CL0600
PF00459	CL0171
PF00460	
PF00462	CL0172
PF00463	CL0151
PF00464	CL0061
PF00465	CL0224
PF00466	
PF00467	CL0107
PF00468	
PF00469	
PF00471	CL0167
PF00472	CL0337
PF00473	
PF00474	CL0062
PF00475	CL0329
PF00476	
PF00477	CL0385
PF00478	CL0036
PF00479	CL0063
PF00480	CL0108
PF00481	CL0238
PF00482	
PF00483	CL0110
PF00484	
PF00485	CL0023
PF00486	CL0123
PF00487	CL0713
PF00488	CL0023
PF00489	CL0053
PF00490	CL0036
PF00491	CL0302
PF00493	CL0023
PF00494	CL0613
PF00496	CL0177
PF00497	CL0177
PF00498	CL0357
PF00499	
PF00500	CL0055
PF00501	CL0378
PF00502	CL0090
PF00503	CL0023
PF00504	
PF00505	CL0114
PF00506	
PF00507	
PF00508	
PF00509	
PF00510	
PF00511	
PF00512	CL0025
PF00513	
PF00514	CL0020
PF00515	CL0020
PF00516	
PF00517	
PF00518	
PF00519	CL0023
PF00520	CL0030
PF00521	
PF00522	
PF00523	CL0595
PF00524	
PF00525	
PF00526	
PF00527	
PF00528	CL0404
PF00529	CL0105
PF00530	CL0550
PF00531	CL0041
PF00532	CL0144
PF00533	CL0459
PF00534	CL0113
PF00535	CL0110
PF00536	CL0003
PF00537	CL0054
PF00538	CL0123
PF00539	
PF00540	CL0074
PF00541	CL0326
PF00542	
PF00543	CL0089
PF00544	CL0268
PF00545	
PF00547	
PF00548	CL0124
PF00549	CL0506
PF00550	CL0314
PF00551	
PF00552	CL0010
PF00553	CL0203
PF00554	CL0073
PF00555	CL0568
PF00556	
PF00557	
PF00558	
PF00559	
PF00560	CL0022
PF00561	CL0028
PF00562	CL0410
PF00563	CL0276
PF00564	CL0072
PF00565	CL0049
PF00566	
PF00567	CL0049
PF00568	CL0266
PF00569	CL0006
PF00570	CL0426
PF00571	
PF00572	
PF00573	
PF00574	CL0127
PF00575	CL0021
PF00576	CL0287
PF00577	CL0193
PF00578	CL0172
PF00579	CL0039
PF00580	CL0023
PF00581	CL0031
PF00582	CL0039
PF00583	CL0257
PF00584	
PF00585	CL0070
PF00586	
PF00587	CL0040
PF00588	CL0098
PF00589	CL0382
PF00590	
PF00591	
PF00593	CL0193
PF00594	CL0001
PF00595	CL0466
PF00596	
PF00598	
PF00599	
PF00600	CL0600
PF00601	
PF00602	
PF00603	CL0236
PF00604	
PF00605	CL0123
PF00606	
PF00607	CL0148
PF00608	CL0674
PF00609	CL0701
PF00610	CL0123
PF00611	CL0145
PF00612	CL0220
PF00613	CL0020
PF00614	CL0479
PF00615	CL0272
PF00616	CL0409
PF00617	
PF00618	CL0542
PF00619	CL0041
PF00620	CL0409
PF00621	
PF00622	CL0004
PF00623	
PF00624	
PF00625	CL0023
PF00626	CL0092
PF00627	CL0214
PF00628	CL0390
PF00629	CL0004
PF00630	CL0159
PF00631	
PF00632	CL0552
PF00633	CL0198
PF00634	
PF00635	CL0556
PF00636	CL0539
PF00637	CL0020
PF00638	CL0266
PF00639	CL0487
PF00640	CL0266
PF00641	CL0167
PF00642	CL0537
PF00643	
PF00644	CL0084
PF00645	CL0167
PF00646	CL0271
PF00647	
PF00648	CL0125
PF00649	
PF00650	CL0512
PF00651	CL0033
PF00652	CL0066
PF00653	CL0417
PF00654	
PF00656	CL0093
PF00657	CL0264
PF00658	
PF00659	CL0708
PF00660	
PF00661	
PF00662	
PF00664	CL0241
PF00665	CL0219
PF00666	CL0121
PF00667	CL0076
PF00668	CL0149
PF00669	
PF00670	CL0063
PF00672	CL0681
PF00673	
PF00674	
PF00675	CL0094
PF00676	CL0254
PF00677	CL0076
PF00679	CL0437
PF00680	CL0027
PF00681	
PF00682	CL0036
PF00683	
PF00684	
PF00685	CL0023
PF00686	CL0369
PF00687	
PF00688	CL0055
PF00689	
PF00690	
PF00691	
PF00692	CL0153
PF00693	CL0023
PF00694	CL0364
PF00695	
PF00696	
PF00697	CL0036
PF00698	CL0323
PF00699	
PF00700	
PF00701	CL0036
PF00702	CL0137
PF00703	CL0159
PF00704	CL0058
PF00705	CL0060
PF00706	CL0075
PF00707	
PF00708	CL0622
PF00709	CL0023
PF00710	
PF00711	CL0075
PF00712	CL0060
PF00713	CL0620
PF00714	CL0053
PF00715	CL0053
PF00716	CL0201
PF00717	CL0299
PF00718	CL0055
PF00719	
PF00720	
PF00721	
PF00722	CL0004
PF00723	CL0059
PF00724	CL0036
PF00725	CL0106
PF00726	CL0053
PF00727	CL0053
PF00728	CL0058
PF00729	CL0055
PF00730	CL0198
PF00731	CL0224
PF00732	CL0063
PF00733	CL0039
PF00734	CL0083
